"","State","Corp_Rate","year","Corp_Rate_Adj","Pers_Rate","Pers_Rate_Adj","Sales_Rate","Sales_Rate_Adj"
"1","Alabama",6.5,2010,6.5,5,5,4,4
"2","Alaska",9.4,2010,9.39999961853027,0,0,0,0
"3","Arizona",6.968,2010,6.96799993515015,4.34,4.54,5.6,5.59999990463257
"4","Arkansas",6.5,2010,6.5,7,7,6,6
"5","California",8.84,2010,8.84000015258789,11.18,10.55,8.25,8.25
"6","Colorado",4.63,2010,4.63000011444092,4.63,4.63,2.9,2.90000009536743
"7","Connecticut",7.5,2010,8.25,6.5,6.5,6,6
"8","Delaware",8.7,2010,8.69999980926514,6.95,6.95,0,1.91999995708466
"9","District of Columbia",9.975,2010,9.97500038146973,8.5,8.5,6,6
"10","Florida",5.5,2010,5.5,0,0,6,6
"11","Georgia",6,2010,6,6,6,4,4
"12","Hawaii",6.4,2010,6.40000009536743,11,11,4,4
"13","Idaho",7.6,2010,7.59999990463257,7.8,7.8,6,6
"14","Illinois",7.3,2010,7.30000019073486,3,3,6.25,6.25
"15","Indiana",8.5,2010,8.5,3.4,3.4,7,7
"16","Iowa",12,2010,12,8.98,8.98,6,6
"17","Kansas",4,2010,7.05000019073486,6.45,6.45,5.3,5.30000019073486
"18","Kentucky",6,2010,6,6,6,6,6.09499979019165
"19","Louisiana",8,2010,8,6,6,4,4
"20","Maine",8.93,2010,8.93000030517578,8.5,8.5,5,5
"21","Maryland",8.25,2010,8.25,6.25,6.25,6,6
"22","Massachusetts",8.75,2010,8.75,5.3,5.3,6.25,6.25
"23","Michigan",4.95,2010,6.03850507736206,4.35,4.35,6,6.80000019073486
"24","Minnesota",9.8,2010,9.80000019073486,7.85,7.85,6.875,6.875
"25","Mississippi",5,2010,5,5,5,7,7
"26","Missouri",6.25,2010,6.25,5.9,6,4.225,4.22499990463257
"27","Montana",6.75,2010,7,6.9,6.9,0,0
"28","Nebraska",7.81,2010,7.80999994277954,6.84,6.84,5.5,5.5
"29","Nevada",0,2010,0,0,0,6.85,6.84999990463257
"30","New Hampshire",8.5,2010,8.5,0,0,0,0.75
"31","New Jersey",9,2010,9,8.97,8.97,7,7
"32","New Mexico",7.6,2010,7.59999990463257,4.9,4.9,5.5,5.5
"33","New York",7.1,2010,7.09999990463257,8.82,8.97,4,4
"34","North Carolina",6.9,2010,7.10699987411499,7.98,7.75,5.75,5.75
"35","North Dakota",6.4,2010,9.89999961853027,4.63,3.99,5,5
"36","Ohio",0,2010,0,6.24,5.925,5.5,5.76000022888184
"37","Oklahoma",6,2010,6,5.21,5.5,4.5,4.5
"38","Oregon",7.9,2010,7.90000009536743,9.91,9.9,0,0
"39","Pennsylvania",9.99,2010,9.98999977111816,3.07,3.07,6,6
"40","Rhode Island",9,2010,9,6,5.99,7,7
"41","South Carolina",5,2010,5,7,7,6,6
"42","South Dakota",0,2010,0,0,0,4,4
"43","Tennessee",6.5,2010,6.5,0,0,7,7.03000020980835
"44","Texas",0,2010,0,0,0,6.25,7.25
"45","Utah",5,2010,5,5,5,5.95,5.94999980926514
"46","Vermont",8.5,2010,8.5,8.21,8.95,6,6
"47","Virginia",6,2010,6,5.65,5.75,5,5
"48","Washington",0,2010,0,0,0,6.5,8
"49","West Virginia",8.5,2010,8.5,6.5,6.5,6,6.40999984741211
"50","Wisconsin",7.9,2010,7.90000009536743,7.75,7.75,5,5
"51","Wyoming",0,2010,0,0,0,4,4
